product_id,title,description,pub_date,acq_start,preview_url,link,bbox_lower,bbox_upper
3RIMG_L1C_ASIA_MER_2022-08-24T07-45-00,3RIMG_L1C_ASIA_MER,IMAGER- 6 channel Level1 data in Mercator projection for Asian Sector,"Wed, 24 Aug 2022 08:32:00 GMT","Wed, 24 Aug 2022 07:45:00 GMT",http://mosdac.gov.in/look/3R_IMG/preview/2022/24AUG/3RIMG_24AUG2022_0745_L1C_ASIA_MER_IR1.jpg,http://mosdac.gov.in/look/3R_IMG/preview/2022/24AUG/3RIMG_24AUG2022_0745_L1C_ASIA_MER_IR1.jpg,"[-10.0, 44.0]","[45.0, 110.0]"
3RIMG_L2P_WVW_2022-08-24T07-45-00,3RIMG_L2P_WVW,Water vapour derived wind vectors,"Wed, 24 Aug 2022 08:35:00 GMT","Wed, 24 Aug 2022 07:45:00 GMT",http://mosdac.gov.in/look/3R_IMG/preview/2022/24AUG/3RIMG_24AUG2022_0745_L2P_WVW.gif,http://mosdac.gov.in/look/3R_IMG/preview/2022/24AUG/3RIMG_24AUG2022_0745_L2P_WVW.gif,"[-48.0, 21.0]","[49.0, 128.0]"
3RIMG_L2B_CMK_2022-08-24T07-45-00,3RIMG_L2B_CMK,"INSAT-3DR VHRR measures radiances in one visible and one SWIR band at 1 km spatial resolution, one MIR and two TIR bands at 4 km resolution, and one WV band at 8 km resolution. Radiances from 3 IR spectral bands TIR ?1 , TIR ?2 and MIR which are of same resolution of 4km are used in the INSAT cloud mask algorithm to estimate whether a given view of the earth surface is unobstructed by clouds","Wed, 24 Aug 2022 08:32:00 GMT","Wed, 24 Aug 2022 07:45:00 GMT",http://mosdac.gov.in/look/3R_IMG/preview/2022/24AUG/3RIMG_24AUG2022_0745_L2B_CMK.jpg,http://mosdac.gov.in/look/3R_IMG/preview/2022/24AUG/3RIMG_24AUG2022_0745_L2B_CMK.jpg,"[-81.0, -7.0]","[81.0, 155.0]"
3RIMG_L2C_CMP_2022-08-24T07-45-00,3RIMG_L2C_CMP,Day-time cloud microphysical parameters from visible and SWIR channels of INSAT-3DR imager,"Wed, 24 Aug 2022 08:35:00 GMT","Wed, 24 Aug 2022 07:45:00 GMT",http://mosdac.gov.in/look/3R_IMG/preview/2022/24AUG/3RIMG_24AUG2022_0745_L2C_CER.jpg,http://mosdac.gov.in/look/3R_IMG/preview/2022/24AUG/3RIMG_24AUG2022_0745_L2C_CER.jpg,"[-50.0, 20.0]","[50.0, 130.0]"
3RIMG_L2P_VSW_2022-08-24T07-15-00,3RIMG_L2P_VSW,Winds derived using Visible band data of IMAGER,"Wed, 24 Aug 2022 08:05:00 GMT","Wed, 24 Aug 2022 07:15:00 GMT",http://mosdac.gov.in/look/3R_IMG/preview/2022/24AUG/3RIMG_24AUG2022_0715_L2P_VSW.gif,http://mosdac.gov.in/look/3R_IMG/preview/2022/24AUG/3RIMG_24AUG2022_0715_L2P_VSW.gif,"[-48.0, 22.0]","[31.0, 128.0]"
3RIMG_L2P_FIR_2022-08-24T07-45-00,3RIMG_L2P_FIR,This is an Active FIRE product which shows that the pixel is warm enough to be qualified as fire. This is derived using MIR (T3) and TIR1 (T5) channel BT from INSAT-3DR imager.,"Wed, 24 Aug 2022 08:32:00 GMT","Wed, 24 Aug 2022 07:45:00 GMT",http://mosdac.gov.in/look/3R_IMG/preview/2022/24AUG/3RIMG_24AUG2022_0745_L2P_FIR.jpg,http://mosdac.gov.in/look/3R_IMG/preview/2022/24AUG/3RIMG_24AUG2022_0745_L2P_FIR.jpg,"[-29.0, 24.0]","[52.0, 118.0]"
3RIMG_L2C_INS_2022-08-24T07-45-00,3RIMG_L2C_INS,INSAT-3DR derived INSOLATION,"Wed, 24 Aug 2022 08:32:00 GMT","Wed, 24 Aug 2022 07:45:00 GMT",http://mosdac.gov.in/look/3R_IMG/preview/2022/24AUG/3RIMG_24AUG2022_0745_L2C_INS.jpg,http://mosdac.gov.in/look/3R_IMG/preview/2022/24AUG/3RIMG_24AUG2022_0745_L2C_INS.jpg,"[-10.0, 44.0]","[45.0, 110.0]"
3RIMG_L2B_SST_2022-08-24T07-45-00,3RIMG_L2B_SST,"Sea surface temperature is derived from split thermal window channels (TIR1, TIR2) during daytime and using additional mid IR window channel (MIR) during night time over cloud free oceanic regions. The most important part of the SST retrieval from IR observations is the atmospheric correction, especially over tropics. This correction is determined through a suitable characterization of tropical atmospheres in radiative transfer model to simulate the brightness temperatures of INSAT-3DR channels a","Wed, 24 Aug 2022 08:35:00 GMT","Wed, 24 Aug 2022 07:45:00 GMT",http://mosdac.gov.in/look/3R_IMG/preview/2022/24AUG/3RIMG_24AUG2022_0745_L2B_SST.jpg,http://mosdac.gov.in/look/3R_IMG/preview/2022/24AUG/3RIMG_24AUG2022_0745_L2B_SST.jpg,"[-81.0, -7.0]","[81.0, 155.0]"
3RIMG_L2P_VSW_2022-08-24T07-45-00,3RIMG_L2P_VSW,Winds derived using Visible band data of IMAGER,"Wed, 24 Aug 2022 08:35:00 GMT","Wed, 24 Aug 2022 07:45:00 GMT",http://mosdac.gov.in/look/3R_IMG/preview/2022/24AUG/3RIMG_24AUG2022_0745_L2P_VSW.gif,http://mosdac.gov.in/look/3R_IMG/preview/2022/24AUG/3RIMG_24AUG2022_0745_L2P_VSW.gif,"[-48.0, 31.0]","[32.0, 128.0]"
3RIMG_L2G_WDP_2022-08-24T07-15-00,3RIMG_L2G_WDP,"Wind Derived Product, Upper level divergence, lower level convergence, wind shear, mid-level wind shear, 24 hour wind shear tendency, vorticity(200,500,700,850mb) using INSAT-3DR AMVs.","Wed, 24 Aug 2022 08:05:00 GMT","Wed, 24 Aug 2022 07:15:00 GMT",http://mosdac.gov.in/look/3R_IMG/preview/2022/24AUG/3RIMG_24AUG2022_0715_L2G_MIDSH.jpg,http://mosdac.gov.in/look/3R_IMG/preview/2022/24AUG/3RIMG_24AUG2022_0715_L2G_MIDSH.jpg,"[-50.0, 30.0]","[50.0, 130.0]"
