product_id,title,description,pub_date,acq_start,preview_url,link,bbox_lower,bbox_upper
3RSND_L2B_SA1_2022-08-23T14-00-00,3RSND_L2B_SA1,Sounder Level2 data for A1 sector,"Tue, 23 Aug 2022 15:36:00 GMT","Tue, 23 Aug 2022 14:00:00 GMT",http://mosdac.gov.in/look/3R_SND/preview/2022/23AUG/3RSND_23AUG2022_1400_L2B_SA1_DMI.jpg,http://mosdac.gov.in/look/3R_SND/preview/2022/23AUG/3RSND_23AUG2022_1400_L2B_SA1_DMI.jpg,"[7.0, 54.0]","[41.0, 105.0]"
3RSND_L2B_SB1_2022-08-23T23-00-00,3RSND_L2B_SB1,Sounder Level2 data for B1 sector,"Wed, 24 Aug 2022 00:10:00 GMT","Tue, 23 Aug 2022 23:00:00 GMT",http://mosdac.gov.in/look/3R_SND/preview/2022/23AUG/3RSND_23AUG2022_2300_L2B_SB1_DMI.jpg,http://mosdac.gov.in/look/3R_SND/preview/2022/23AUG/3RSND_23AUG2022_2300_L2B_SB1_DMI.jpg,"[-13.0, 53.0]","[10.0, 96.0]"
3RSND_L1B_SB1_2022-08-24T04-00-00,3RSND_L1B_SB1,Sounder Level1 data for B1 sector,"Wed, 24 Aug 2022 05:06:00 GMT","Wed, 24 Aug 2022 04:00:00 GMT",http://mosdac.gov.in/look/3R_SND/preview/2022/24AUG/3RSND_24AUG2022_0400_L1B_SB1_LWIR1.jpg,http://mosdac.gov.in/look/3R_SND/preview/2022/24AUG/3RSND_24AUG2022_0400_L1B_SB1_LWIR1.jpg,"[-13.0, 53.0]","[10.0, 96.0]"
3RSND_L1B_SA1_2022-08-23T22-00-00,3RSND_L1B_SA1,Sounder Level1 data for A1 sector,"Tue, 23 Aug 2022 23:32:00 GMT","Tue, 23 Aug 2022 22:00:00 GMT",http://mosdac.gov.in/look/3R_SND/preview/2022/23AUG/3RSND_23AUG2022_2200_L1B_SA1_LWIR1.jpg,http://mosdac.gov.in/look/3R_SND/preview/2022/23AUG/3RSND_23AUG2022_2200_L1B_SA1_LWIR1.jpg,"[6.0, 54.0]","[41.0, 105.0]"
3RSND_L1B_SA1_2022-08-24T01-00-00,3RSND_L1B_SA1,Sounder Level1 data for A1 sector,"Wed, 24 Aug 2022 02:38:00 GMT","Wed, 24 Aug 2022 01:00:00 GMT",http://mosdac.gov.in/look/3R_SND/preview/2022/24AUG/3RSND_24AUG2022_0100_L1B_SA1_LWIR1.jpg,http://mosdac.gov.in/look/3R_SND/preview/2022/24AUG/3RSND_24AUG2022_0100_L1B_SA1_LWIR1.jpg,"[6.0, 53.0]","[42.0, 104.0]"
3RSND_L1B_SA1_2022-08-24T06-00-00,3RSND_L1B_SA1,Sounder Level1 data for A1 sector,"Wed, 24 Aug 2022 07:38:00 GMT","Wed, 24 Aug 2022 06:00:00 GMT",http://mosdac.gov.in/look/3R_SND/preview/2022/24AUG/3RSND_24AUG2022_0600_L1B_SA1_LWIR1.jpg,http://mosdac.gov.in/look/3R_SND/preview/2022/24AUG/3RSND_24AUG2022_0600_L1B_SA1_LWIR1.jpg,"[7.0, 54.0]","[41.0, 104.0]"
3RSND_L2B_SA1_2022-08-23T13-00-00,3RSND_L2B_SA1,Sounder Level2 data for A1 sector,"Tue, 23 Aug 2022 14:38:00 GMT","Tue, 23 Aug 2022 13:00:00 GMT",http://mosdac.gov.in/look/3R_SND/preview/2022/23AUG/3RSND_23AUG2022_1300_L2B_SA1_DMI.jpg,http://mosdac.gov.in/look/3R_SND/preview/2022/23AUG/3RSND_23AUG2022_1300_L2B_SA1_DMI.jpg,"[7.0, 54.0]","[41.0, 105.0]"
3RSND_L2B_SA1_2022-08-23T22-00-00,3RSND_L2B_SA1,Sounder Level2 data for A1 sector,"Tue, 23 Aug 2022 23:38:00 GMT","Tue, 23 Aug 2022 22:00:00 GMT",http://mosdac.gov.in/look/3R_SND/preview/2022/23AUG/3RSND_23AUG2022_2200_L2B_SA1_DMI.jpg,http://mosdac.gov.in/look/3R_SND/preview/2022/23AUG/3RSND_23AUG2022_2200_L2B_SA1_DMI.jpg,"[6.0, 54.0]","[41.0, 105.0]"
3RSND_L1B_SA1_2022-08-24T05-00-00,3RSND_L1B_SA1,Sounder Level1 data for A1 sector,"Wed, 24 Aug 2022 06:36:00 GMT","Wed, 24 Aug 2022 05:00:00 GMT",http://mosdac.gov.in/look/3R_SND/preview/2022/24AUG/3RSND_24AUG2022_0500_L1B_SA1_LWIR1.jpg,http://mosdac.gov.in/look/3R_SND/preview/2022/24AUG/3RSND_24AUG2022_0500_L1B_SA1_LWIR1.jpg,"[7.0, 54.0]","[41.0, 104.0]"
3RSND_L2B_SA1_2022-08-24T01-00-00,3RSND_L2B_SA1,Sounder Level2 data for A1 sector,"Wed, 24 Aug 2022 02:38:00 GMT","Wed, 24 Aug 2022 01:00:00 GMT",http://mosdac.gov.in/look/3R_SND/preview/2022/24AUG/3RSND_24AUG2022_0100_L2B_SA1_DMI.jpg,http://mosdac.gov.in/look/3R_SND/preview/2022/24AUG/3RSND_24AUG2022_0100_L2B_SA1_DMI.jpg,"[6.0, 53.0]","[42.0, 104.0]"
