satellite_name,satellite_id,sensor_name,sensor_id
EOS-06,22,OCM,16
EOS-06,22,SCATTEROMETER,4
INSAT-3DR,14,IMAGER,10
INSAT-3DR,14,SOUNDER,11
INSAT-3DS,24,IMAGER,10
INSAT-3DS,24,SOUNDER,11
MSG,32,SEVIRI,17
SARAL,12,ALTIMETER,9
EOS-07,23,MHS,15
INSAT-3A,3,CCD,1
INSAT-3A,3,VHRR,2
INSAT-3D,13,IMAGER,10
INSAT-3D,13,SOUNDER,11
KALPANA-1,1,VHRR,2
MEGHATROPIQUES,11,MADRAS,5
MEGHATROPIQUES,11,ROSA,8
MEGHATROPIQUES,11,SAPHIR,6
MEGHATROPIQUES,11,SCARAB,7
OCEANSAT-2,9,SCATTEROMETER,4
SCATSAT-1,15,SCATTEROMETER,4
