product_id,title,description,pub_date,acq_start,preview_url,link,bbox_lower,bbox_upper
3DIMG_L2P_VSW_2022-08-23T08-00-00,3DIMG_L2P_VSW,Winds derived using Visible band data of IMAGER,"Tue, 23 Aug 2022 09:12:00 GMT","Tue, 23 Aug 2022 08:00:00 GMT",http://mosdac.gov.in/look/3D_IMG/preview/2022/23AUG/3DIMG_23AUG2022_0800_L2P_VSW.gif,http://mosdac.gov.in/look/3D_IMG/preview/2022/23AUG/3DIMG_23AUG2022_0800_L2P_VSW.gif,"[-48.0, 30.0]","[45.0, 128.0]"
3DIMG_L2G_IMR_2022-08-23T08-30-00,3DIMG_L2G_IMR,Indian Multi Spectral rainfall from IMAGER,"Tue, 23 Aug 2022 09:12:00 GMT","Tue, 23 Aug 2022 08:30:00 GMT",http://mosdac.gov.in/look/3D_IMG/preview/2022/23AUG/3DIMG_23AUG2022_0830_L2G_IMR.jpg,http://mosdac.gov.in/look/3D_IMG/preview/2022/23AUG/3DIMG_23AUG2022_0830_L2G_IMR.jpg,"[-39.0, 30.0]","[40.0, 120.0]"
3DIMG_L1C_SGP_2022-08-23T08-30-00,3DIMG_L1C_SGP,"Level1 IMAGER 6 channel  data of TIR1, TIR2, WV, VIS, SWIR, MIR Bands in Mercator projection","Tue, 23 Aug 2022 09:12:00 GMT","Tue, 23 Aug 2022 08:30:00 GMT",http://mosdac.gov.in/look/3D_IMG/preview/2022/23AUG/3DIMG_23AUG2022_0830_L1C_SGP_IR1.jpg,http://mosdac.gov.in/look/3D_IMG/preview/2022/23AUG/3DIMG_23AUG2022_0830_L1C_SGP_IR1.jpg,"[-50.0, 20.0]","[50.0, 130.0]"
3DIMG_L1C_ASIA_MER_2022-08-23T08-00-00,3DIMG_L1C_ASIA_MER,IMAGER- 6 channel Level1 data in Mercator projection for Asian Sector,"Tue, 23 Aug 2022 09:12:00 GMT","Tue, 23 Aug 2022 08:00:00 GMT",http://mosdac.gov.in/look/3D_IMG/preview/2022/23AUG/3DIMG_23AUG2022_0800_L1C_ASIA_MER_IR1.jpg,http://mosdac.gov.in/look/3D_IMG/preview/2022/23AUG/3DIMG_23AUG2022_0800_L1C_ASIA_MER_IR1.jpg,"[-10.0, 44.0]","[45.0, 105.0]"
3DIMG_L2G_AOD_2022-08-23T08-30-00,3DIMG_L2G_AOD,"The AOD product provides the aerosol optical thickness, at 650 nm and 4 Km spatial resolution over both land and ocean surfaces with root mean square (RMS) error of ?0.1.","Tue, 23 Aug 2022 09:16:00 GMT","Tue, 23 Aug 2022 08:30:00 GMT",http://mosdac.gov.in/look/3D_IMG/preview/2022/23AUG/3DIMG_23AUG2022_0830_L2G_AOD.jpg,http://mosdac.gov.in/look/3D_IMG/preview/2022/23AUG/3DIMG_23AUG2022_0830_L2G_AOD.jpg,"[-9.0, 45.0]","[45.0, 100.0]"
3DIMG_L2C_FOG_2022-08-23T08-30-00,3DIMG_L2C_FOG,"Night time FOG is derived from TIR-1 and MIR channel brightness temperature over Indian region. However, for day time visible channel reflectance and TIR-1 channel brightness temperature has been used. The algorithm involves detection of different thresholds following an image based approach to detect FOG","Tue, 23 Aug 2022 09:12:00 GMT","Tue, 23 Aug 2022 08:30:00 GMT",http://mosdac.gov.in/look/3D_IMG/preview/2022/23AUG/3DIMG_23AUG2022_0830_L2C_FOG.jpg,http://mosdac.gov.in/look/3D_IMG/preview/2022/23AUG/3DIMG_23AUG2022_0830_L2C_FOG.jpg,"[-10.0, 44.0]","[45.0, 105.0]"
3DIMG_L2B_CTP_2022-08-23T08-00-00,3DIMG_L2B_CTP,Cloud top properties derived using INSAT3D IMAGER,"Tue, 23 Aug 2022 09:12:00 GMT","Tue, 23 Aug 2022 08:00:00 GMT",http://mosdac.gov.in/look/3D_IMG/preview/2022/23AUG/3DIMG_23AUG2022_0800_L2B_CTP.jpg,http://mosdac.gov.in/look/3D_IMG/preview/2022/23AUG/3DIMG_23AUG2022_0800_L2B_CTP.jpg,"[-79.0, 1.0]","[78.0, 162.0]"
3DIMG_L2G_WDP_2022-08-23T08-00-00,3DIMG_L2G_WDP,"Wind Derived Product, Upper level divergence, lower level convergence, wind shear, mid-level wind shear, 24 hour wind shear tendency, vorticity(200,500,700,850mb) using INSAT-3D AMVs.","Tue, 23 Aug 2022 09:12:00 GMT","Tue, 23 Aug 2022 08:00:00 GMT",http://mosdac.gov.in/look/3D_IMG/preview/2022/23AUG/3DIMG_23AUG2022_0800_L2G_MIDSH.jpg,http://mosdac.gov.in/look/3D_IMG/preview/2022/23AUG/3DIMG_23AUG2022_0800_L2G_MIDSH.jpg,"[-50.0, 30.0]","[50.0, 130.0]"
3DIMG_L2B_LST_2022-08-23T08-00-00,3DIMG_L2B_LST,"Land surface temperature (LST) is a key parameter in the land surface processes. LST is very useful input to various models related to agrometeorology, ecology, hydrology and climate.","Tue, 23 Aug 2022 09:12:00 GMT","Tue, 23 Aug 2022 08:00:00 GMT",http://mosdac.gov.in/look/3D_IMG/preview/2022/23AUG/3DIMG_23AUG2022_0800_L2B_LST.jpg,http://mosdac.gov.in/look/3D_IMG/preview/2022/23AUG/3DIMG_23AUG2022_0800_L2B_LST.jpg,"[-81.0, 0.0]","[81.0, 163.0]"
3DIMG_L2B_IMC_2022-08-23T07-30-00,3DIMG_L2B_IMC,"INSAT multispectral Rainfall Algorithm Technique (IMSRA) is one of the main operational rainfall retrieval algorithms for INSAT-3D. This algorithm estimates precipitation based on non-linear power law relationship established between infrared (IR) brightness temperatures (Tbs, 10.7 ?m observations) and TRMM-PR surface rain rate.  Based on a number of case studies and research works carried out, a further refinement of the algorithm was made.","Tue, 23 Aug 2022 09:12:00 GMT","Tue, 23 Aug 2022 07:30:00 GMT",http://mosdac.gov.in/look/3D_IMG/preview/2022/23AUG/3DIMG_23AUG2022_0730_L2B_IMC.jpg,http://mosdac.gov.in/look/3D_IMG/preview/2022/23AUG/3DIMG_23AUG2022_0730_L2B_IMC.jpg,"[-81.0, 0.0]","[81.0, 163.0]"
