product_id,title,description,pub_date,acq_start,preview_url,link,bbox_lower,bbox_upper
3DSND_L1B_SA1_2020-05-09T01-00-00,3DSND_L1B_SA1,Sounder Level1 data for A1 sector,"Sat, 09 May 2020 04:38:00 GMT","Sat, 09 May 2020 01:00:00 GMT",http://mosdac.gov.in/look/3D_SND/preview/2020/09MAY/3DSND_09MAY2020_0100_L1B_SA1_LWIR1.jpg,http://mosdac.gov.in/look/3D_SND/preview/2020/09MAY/3DSND_09MAY2020_0100_L1B_SA1_LWIR1.jpg,"[6.0, 49.0]","[41.0, 100.0]"
3DSND_L2B_SA1_2020-05-08T20-00-00,3DSND_L2B_SA1,Sounder Level2 data for A1 sector,"Fri, 08 May 2020 21:02:00 GMT","Fri, 08 May 2020 20:00:00 GMT",http://mosdac.gov.in/look/3D_SND/preview/2020/08MAY/3DSND_08MAY2020_2000_L2B_SA1_DMI.jpg,http://mosdac.gov.in/look/3D_SND/preview/2020/08MAY/3DSND_08MAY2020_2000_L2B_SA1_DMI.jpg,"[6.0, 49.0]","[41.0, 100.0]"
3DSND_L2B_SA2_2020-05-08T10-30-00,3DSND_L2B_SA2,Sounder Level2 data for A2 sector,"Fri, 08 May 2020 12:03:00 GMT","Fri, 08 May 2020 10:30:00 GMT",http://mosdac.gov.in/look/3D_SND/preview/2020/08MAY/3DSND_08MAY2020_1030_L2B_SA2_DMI.jpg,http://mosdac.gov.in/look/3D_SND/preview/2020/08MAY/3DSND_08MAY2020_1030_L2B_SA2_DMI.jpg,"[-14.0, 50.0]","[21.0, 96.0]"
3DSND_L2B_SA2_2020-05-08T22-30-00,3DSND_L2B_SA2,Sounder Level2 data for A2 sector,"Sat, 09 May 2020 00:10:00 GMT","Fri, 08 May 2020 22:30:00 GMT",http://mosdac.gov.in/look/3D_SND/preview/2020/08MAY/3DSND_08MAY2020_2230_L2B_SA2_DMI.jpg,http://mosdac.gov.in/look/3D_SND/preview/2020/08MAY/3DSND_08MAY2020_2230_L2B_SA2_DMI.jpg,"[-14.0, 50.0]","[21.0, 96.0]"
3DSND_L2B_SA2_2020-05-08T15-00-00,3DSND_L2B_SA2,Sounder Level2 data for A2 sector,"Fri, 08 May 2020 16:36:00 GMT","Fri, 08 May 2020 15:00:00 GMT",http://mosdac.gov.in/look/3D_SND/preview/2020/08MAY/3DSND_08MAY2020_1500_L2B_SA2_DMI.jpg,http://mosdac.gov.in/look/3D_SND/preview/2020/08MAY/3DSND_08MAY2020_1500_L2B_SA2_DMI.jpg,"[-14.0, 50.0]","[21.0, 96.0]"
3DSND_L2B_SA2_2020-05-08T16-30-00,3DSND_L2B_SA2,Sounder Level2 data for A2 sector,"Fri, 08 May 2020 18:04:00 GMT","Fri, 08 May 2020 16:30:00 GMT",http://mosdac.gov.in/look/3D_SND/preview/2020/08MAY/3DSND_08MAY2020_1630_L2B_SA2_DMI.jpg,http://mosdac.gov.in/look/3D_SND/preview/2020/08MAY/3DSND_08MAY2020_1630_L2B_SA2_DMI.jpg,"[-14.0, 50.0]","[21.0, 96.0]"
3DSND_L1B_SA1_2020-05-08T19-00-00,3DSND_L1B_SA1,Sounder Level1 data for A1 sector,"Fri, 08 May 2020 20:06:00 GMT","Fri, 08 May 2020 19:00:00 GMT",http://mosdac.gov.in/look/3D_SND/preview/2020/08MAY/3DSND_08MAY2020_1900_L1B_SA1_LWIR1.jpg,http://mosdac.gov.in/look/3D_SND/preview/2020/08MAY/3DSND_08MAY2020_1900_L1B_SA1_LWIR1.jpg,"[6.0, 49.0]","[41.0, 100.0]"
3DSND_L2B_SA1_2020-05-09T02-00-00,3DSND_L2B_SA1,Sounder Level2 data for A1 sector,"Sat, 09 May 2020 04:38:00 GMT","Sat, 09 May 2020 02:00:00 GMT",http://mosdac.gov.in/look/3D_SND/preview/2020/09MAY/3DSND_09MAY2020_0200_L2B_SA1_DMI.jpg,http://mosdac.gov.in/look/3D_SND/preview/2020/09MAY/3DSND_09MAY2020_0200_L2B_SA1_DMI.jpg,"[6.0, 49.0]","[41.0, 100.0]"
3DSND_L1B_SA2_2020-05-08T16-30-00,3DSND_L1B_SA2,Sounder Level1 data for A2 sector,"Fri, 08 May 2020 18:04:00 GMT","Fri, 08 May 2020 16:30:00 GMT",http://mosdac.gov.in/look/3D_SND/preview/2020/08MAY/3DSND_08MAY2020_1630_L1B_SA2_LWIR1.jpg,http://mosdac.gov.in/look/3D_SND/preview/2020/08MAY/3DSND_08MAY2020_1630_L1B_SA2_LWIR1.jpg,"[-14.0, 50.0]","[21.0, 96.0]"
3DSND_L1B_SA2_2020-05-08T22-30-00,3DSND_L1B_SA2,Sounder Level1 data for A2 sector,"Fri, 08 May 2020 23:52:00 GMT","Fri, 08 May 2020 22:30:00 GMT",http://mosdac.gov.in/look/3D_SND/preview/2020/08MAY/3DSND_08MAY2020_2230_L1B_SA2_LWIR1.jpg,http://mosdac.gov.in/look/3D_SND/preview/2020/08MAY/3DSND_08MAY2020_2230_L1B_SA2_LWIR1.jpg,"[-14.0, 50.0]","[21.0, 96.0]"
